Date,Open,High,Low,Close,Adj Close,Volume
2020-12-14,53.650002,54.220001,52.619999,53.740002,52.097565,102323618
2020-12-21,52.680000,53.549999,51.980000,53.439999,51.806728,34924348
2020-12-28,53.849998,54.930000,53.730000,54.840000,53.163944,33978803
2021-01-04,54.270000,54.630001,49.520000,51.080002,49.518860,167559094
2021-01-11,50.619999,50.860001,48.529999,48.700001,47.211601,115383761
2021-01-18,48.700001,49.090000,48.240002,48.490002,47.008015,87337807
2021-01-25,48.419998,49.500000,48.110001,48.150002,46.678410,86938375
2021-02-01,48.270000,49.779999,48.180000,49.650002,48.132561,71116919
2021-02-08,49.959999,50.848099,49.490002,50.689999,49.140778,90457217
2021-02-15,50.689999,50.845001,49.884998,50.110001,48.578506,56622525
2021-02-22,49.849998,51.509998,48.970001,48.990002,47.492737,82884568
2021-03-01,49.439999,51.090000,49.400002,50.790001,49.237720,84417835
2021-03-08,51.470001,52.490002,50.200001,50.360001,48.820866,104515385
2021-03-15,50.500000,51.619999,50.169998,50.810001,49.667099,130983939
2021-03-22,50.320000,53.110001,50.320000,53.040001,51.846939,84064087
2021-03-29,52.730000,53.939999,52.455002,52.509998,51.328857,64047026
2021-04-05,52.349998,53.650002,52.290001,53.180000,51.983784,62569409
2021-04-12,53.330002,53.799999,52.645000,53.680000,52.472542,60476776
2021-04-19,54.000000,54.865002,53.299999,54.470001,53.244770,69221025
2021-04-26,54.470001,54.509998,53.320000,53.980000,52.765793,62708761
2021-05-03,54.270000,54.794998,53.744999,54.509998,53.283867,53285178
2021-05-10,54.880001,55.494999,53.830002,54.730000,53.498924,71571479
2021-05-17,54.840000,55.115002,53.610001,54.619999,53.391396,67460016
2021-05-24,54.630001,55.709999,54.345001,55.290001,54.046326,114428389
2021-05-31,55.290001,56.480000,55.095001,56.240002,54.974960,60932407
2021-06-07,56.310001,56.340000,55.480000,56.160000,54.896759,59088400
2021-06-14,55.689999,55.790001,53.720001,53.770000,52.560520,78180712
2021-06-21,54.220001,54.849998,54.000000,54.320000,53.498241,70185092
2021-06-28,54.250000,54.480000,53.720001,54.180000,53.360359,61291787
2021-07-05,54.180000,54.520000,53.549999,54.459999,53.636120,52446967
2021-07-12,54.320000,56.680000,54.270000,56.400002,55.546776,82209782
2021-07-19,56.080002,57.560001,55.160000,57.009998,56.147545,82249704
2021-07-26,56.889999,57.540001,56.560001,57.029999,56.167240,52659856
2021-08-02,57.200001,57.240002,56.010101,56.639999,55.783142,50707863
2021-08-09,56.794998,57.299999,56.430801,57.230000,56.364216,42021109
2021-08-16,57.200001,57.555000,55.950001,56.639999,55.783142,51960930
2021-08-23,56.669998,56.750000,55.450001,55.650002,54.808121,51426314
2021-08-30,55.689999,57.029999,55.639999,56.730000,55.871784,58614492
2021-09-06,56.730000,56.730000,55.509998,55.610001,54.768726,55197119
2021-09-13,55.740002,56.395000,54.369999,54.439999,53.616421,100752716
2021-09-20,54.110001,54.820000,53.727299,53.889999,53.475307,80198783
2021-09-27,53.849998,54.244999,52.430000,53.020000,52.612003,80248812
2021-10-04,53.060001,54.389999,52.400002,54.119999,53.703537,84992303
2021-10-11,54.209999,54.880001,53.790001,54.480000,54.060768,75567984
2021-10-18,54.349998,54.759998,53.770000,54.450001,54.031002,66622378
2021-10-25,54.380001,56.465000,54.014999,56.369999,55.936226,88353307
2021-11-01,56.389999,57.160000,55.775002,56.840000,56.402607,57645080
2021-11-08,56.750000,56.985001,56.090000,56.610001,56.174377,49217587
2021-11-15,56.529999,56.939999,54.904701,55.130001,54.705769,68528363
2021-11-22,55.099998,56.106400,53.580002,53.730000,53.316540,58095795
2021-11-29,54.044998,54.730000,52.279999,53.540001,53.128002,110060302
2021-12-06,54.310001,56.320000,54.139999,56.279999,56.279999,105377251
2021-12-10,55.250000,56.320000,55.070000,56.279999,56.279999,20608281
